"scenario_driver","setup_action","real_mechanism","expected_marker","teardown_action","implementation_status"
"archive_award","login_member; open_award","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Prix audit","clear_storage; close_target; restore_network","state_driver_preflight_required"
"archive_missing_image","login_member; open_missing_image_award","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","state:missing_image","clear_storage; close_target; restore_network","state_driver_preflight_required"
"archive_story","login_member; open_long_story","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Recit","clear_storage; close_target; restore_network","state_driver_preflight_required"
"archives_list","login_member; profile_dense; navigate_archives","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Archives","clear_storage; close_target; restore_network","implemented_navigation_driver"
"attendance_closed","login_secretary; open_closed_session","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Session","clear_storage; close_target; restore_network","state_driver_preflight_required"
"attendance_justification","login_secretary; open_justification","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","dialog:justification","clear_storage; close_target; restore_network","state_driver_preflight_required"
"attendance_list","login_secretary; profile_dense; navigate_attendance","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Presences","clear_storage; close_target; restore_network","implemented_navigation_driver"
"attendance_nfc_unavailable","login_secretary; simulate_nfc_unavailable","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","state:nfc_unavailable","clear_storage; close_target; restore_network","state_driver_preflight_required"
"attendance_open","login_secretary; open_attendance_session","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Session","clear_storage; close_target; restore_network","state_driver_preflight_required"
"attendance_qr","login_secretary; open_qr; use_local_token","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:QR","clear_storage; close_target; restore_network","state_driver_preflight_required"
"attendance_record","login_secretary; open_late_record","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Retard","clear_storage; close_target; restore_network","state_driver_preflight_required"
"chat_conversation","login_member; open_private_conversation","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","message:Audit","clear_storage; close_target; restore_network","state_driver_preflight_required"
"chat_empty","login_member; open_empty_conversation","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","state:empty","clear_storage; close_target; restore_network","state_driver_preflight_required"
"chat_group","login_member; open_group_conversation","The route driver is available, but the declared state needs a real seeded entity, dialog, sheet, interception or user action to be validated before capture.","text:Conversation audit","clear_storage; close_target; restore_network","state_driver_preflight_required"
"chat_list","login_member; profile_dense; navigate_chat","CDP clears isolated storage, injects only a local audit token when required, navigates the declared route, waits for the declared marker, then clears target data.","text:Discussions","clear_storage; close_target; restore_network","implemented_navigation_driver"
"chat_send_failed","login_member; open_private_conversation; fail_send","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","state:send_failed","clear_storage; close_target; restore_network","locator_preflight_required"
"chat_sending","login_member; open_private_conversation; delay_send","CDP action is implemented but needs one live, accessible locator confirmation before any screenshot can be authorised.","state:sending","clear_storage; close_target; restore_network","locator_preflight_required"
